,Tourist Spots,Latitude,Longitude,Location,Type
21,Bambleshwari Temple,21.179444444444446,80.75,,Temple
22,Barfani dham,21.092777777777776,81.0,,Temple
23,Bhoramdeo Temple,22.116,81.13333333333334,,Temple
24,Danteshwari Temple,18.9,81.35,,Temple
30,"Mahadev Temple, Deobaloda",21.21861111111111,81.46666666666667,,Temple
31,Mahamaya Temple,22.883055555555558,82.15,,Temple
33,Arang Jain temples,21.19504722222222,81.96666666666667,,Temple
34,"Jama Mosque, Bhilai",21.201416666666667,81.35,,Mosque
35,Digvijay Stadium,21.094444444444445,81.01666666666667,,Sport
36,Jayanti Stadium,21.179166666666667,81.33333333333333,,Sport
42,Shaheed Veer Narayan Singh International Cricket Stadium,21.204166666666666,81.81666666666666,,Sport
43,Amritdhara falls,23.333333333333332,82.31666666666666,,WaterFall
44,Chitrakote Falls,19.20638888888889,81.7,,WaterFall
45,Mandwa Waterfalls,18.990833333333335,81.78333333333333,,WaterFall
46,Mendri Ghumar,19.165277777777778,81.65,,WaterFall
47,Tamda Ghumar,19.172777777777778,81.61666666666666,,WaterFall
48,Teerathgarh Falls,18.914166666666667,81.85,,WaterFall
0,Agonda,15.040277777777778,73.98333333333333,,Beach
1,Anjuna,15.583333333333334,73.73333333333333,,Beach
2,Arambol,15.7,73.7,,Beach
3,"Baga, Goa",15.55888888888889,73.75,,Beach
4,Bambolim,15.45,73.85,,Beach
5,Benaulim,15.25,73.91666666666667,,Beach
6,Calangute,15.541666666666666,73.75,,Beach
7,Candolim,15.516666666666667,73.75,,Beach
8,Caranzalem,15.45,73.8,,Beach
9,"Carmona, Goa",15.2,73.95,,Beach
10,Cavelossim,15.173888888888888,73.93333333333334,,Beach
11,Chapora Beach,15.60611111111111,73.73333333333333,,Beach
12,Colva,15.276111111111112,73.91666666666667,,Beach
13,Dona Paula,15.450555555555555,73.8,,Beach
15,Majorda,15.316111111111113,73.91666666666667,,Beach
16,Mandrem,15.658055555555556,73.7,,Beach
17,"Miramar, Goa",15.483055555555556,73.8,,Beach
18,Mobor,15.157222222222222,73.93333333333334,,Beach
19,Morjim,15.629444444444445,73.73333333333333,,Beach
20,Palolem,15.008888888888889,74.01666666666667,,Beach
22,Sinquerim,15.502777777777778,73.76666666666667,,Beach
23,Siridao,15.445,73.85,,Beach
24,Vagator,15.6025,73.73333333333333,,Beach
25,Varca,15.216666666666667,73.91666666666667,,Beach
26,"Our Lady of the Immaculate Conception Church, Goa",15.498333333333333,73.81666666666666,,Church
28,St. Cajetan Church,15.505694444444444,73.9,,Church
33,Igreja de Nossa Senhora das Neves,15.308333333333334,74.0,,Church
34,Rachol Seminary,15.31,74.0,,Church
35,Fort Aguada,15.488055555555555,73.75,,Archaeological Site
36,Fort Anjediva,14.786388888888888,74.11666666666666,,Archaeological Site
37,Cabo de Rama,15.088055555555556,73.91666666666667,,Archaeological Site
38,Chapora Fort,15.6,73.76666666666667,,Archaeological Site
39,Colvale Fort (Goa),15.649166666666666,73.83333333333333,,Archaeological Site
40,Corjuem Fort,15.596666666666668,73.88333333333334,,Archaeological Site
41,Fort of São Tiago of Banastarim,15.49111111111111,73.95,,Archaeological Site
